,datetime,username,content,display name,user description,verified,follower count,friends count,statuses count,favourites count,listed count,media count,location,protected,outlinks,tcooutlinks,reply count,retweet count,like count,quote count,lang,source,media,retweeted tweet,quoted tweet,mentioned users
0,2010-12-31 23:01:39+00:00,caocurseiro,"RT @canalconcursos Inscreva-se Já! Curso para BACEN, Analista e Técnico: http://www.canaldosconcursos.com.br/#",CãoCurseiro,"O CãoCurseiro é, a partir de agora, o seu companheiro de estudos e torcedor incondicional. #concursospublicos #noticias #atepassar.",False,1996,2405,58368,0,35,6,Brasil,False,[],[],0,0,0,0,pt,"<a href=""http://atepassar.com"" rel=""nofollow"">caocurseiro_</a>",,,,"[User(username='canalconcursos', id=33584866, displayname='Canal dos Concursos', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2010-12-31 13:15:34+00:00,Peteleco01,"Obrigado! R.T  @MaisBB @Peteleco01 bom dia! Não haverá atendimento ao público no último dia do ano, conforme Resolução BACEN 2.932.",Pet,,False,485,333,6750,3,0,262,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='MaisBB', id=187427620, displayname='Рома Цурин', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='Peteleco01', id=71160356, displayname='Pet', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2010-12-31 12:25:35+00:00,bucalem_douglas,"Acusadores de Battisti não têm autoridade nenhuma. Por que não devolveram Caciolla, o batedor de carteira do Bacen, quando o Brasil pediu?",Douglas Bucalem,"Douglas Bucalem, jornalista, empresário, investe no social, e acredita que é o jovem transforma o Brasil.",False,6247,1211,6118,28,9,44,Goiânia ,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
3,2010-12-31 10:40:32+00:00,arinymakeup,"Pra não sair da rotina o Cambio no ultimo dia do ano é 1,6662 ... o menor do ano!!! @bacen",Ariny MakeUp,"Give me inspiration and make me stronger, i believe i can do better. Faith always.",False,74,235,3103,106,1,91,São Paulo,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='bacen', id=83357440, displayname='mohd faiz', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2010-12-31 04:20:08+00:00,dinheiroganhard,"Cheque furtado, em branco, assinado e sem cruzar. Como sustar ? Soube que há 1 telefone do Bacen. É verdade? http://dinheiroganhardinheir",Dinheiro Ganhar,Aprenda a ganhar dinheiro na internet de forma fácil: DinheiroGanharDinheiro.com,False,188,467,51267,0,24,0,Internet,False,[],[],0,0,0,0,pt,"<a href=""http://dinheiroganhardinheiro.com/blog"" rel=""nofollow"">Dinheiro Ganhar Dinheiro Blog</a>",,,,
5,2010-12-30 23:44:32+00:00,Roberto_Barreto,"Quem ae se lembra daquela merda de nota de R$10,00 de plástico? Aquilo foi um dos maiores FAIL do BACEN e da Casa da Moeda.",Roberto Barreto,,False,752,844,21375,10582,28,138,Rep. Fund. do Brasilquistão,False,[],[],0,0,0,0,pt,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,
6,2010-12-30 16:04:27+00:00,geuberfilho,@llmc71 acabei de pegar umas notinhas calcificadas ali qm quiser eu do a fonte #BACEN #TwitPict http://twitpic.com/3l8him,Geuber Filho,,False,45,72,12790,10485,2,1133,,False,[],[],0,0,0,0,pt,"<a href=""http://itunes.apple.com/jp/app/twitpict/id316845459?mt=8"" rel=""nofollow"">TwitPict</a>",,,,"[User(username='llmc71', id=96761034, displayname='Leonardo Costa', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2010-12-30 14:10:04+00:00,pericles_at,@virginiamelo aqui no bacen vc já pode pegar as novas cédulas :),Péricles Tavares,"Casado com @gimene. Escreve umas linhas de código e joga games.
(viciado em metroid)",False,158,122,11177,1678,3,629,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='virginiamelo', id=47229473, displayname='Virgínia Melo', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2010-12-30 04:12:06+00:00,rapidinhas_evp,Videoaulas Prova Inglês BACEN/2010 à vista!!! &gt; http://tinyurl.com/2bcstxt,Rapidinhas EVP,O site mais democrático e revolucionário para Concursos Públicos! Eu Vou Passar! E Você?,False,12222,142,19631,9,125,226,"Recife, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://www.euvoupassar.com.br"" rel=""nofollow"">Eu Vou Passar 2.0</a>",,,,
9,2010-12-30 01:25:20+00:00,pmorishigue,"@EudesXavierPT Deputado, obrigado por ajudar os remanescentes do Bacen. Ficou bonito na foto! Abraços.",Paulo Morishigue,,False,64,42,159,348,1,1,"Brasília, Brasil",False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='eudesxavierpt', id=78419489, displayname='Eudes Xavier', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2010-12-29 23:36:54+00:00,jcluxo,"Conforme Relatorio-Bacen:  estimativa para o crescimento do PIB em 2011 atinge 4,5%, sustentada pelo desempenho da demanda doméstica!",Jose Carlos Luxo,Pesquisador do mercado de capitais e operações estruturadas.,False,69,37,110,0,0,0,,False,[],[],0,0,0,0,pt,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,
11,2010-12-29 19:39:05+00:00,Orlando708410,"Deputado @EudesXavierPT: Também sou Cearense. Sonho em entrar no BACEN e, num futuro distante, conseguir uma vaguinha no BACEN de Fortaleza",Orlando Sales,,False,87,383,3916,1,1,1,,False,[],[],0,0,0,0,pt,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,"[User(username='eudesxavierpt', id=78419489, displayname='Eudes Xavier', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
